ID,Ustanova,Region,Oblast,Opština,Adresa,Email,Web,Telefon,longitude,latitude
1,"Ginekološko-akušerska klinika ""Narodni front""",Beograd,Beogradska oblast,Savski venac,Kraljice Natalije 62,uprava@gakfront.org,,112068227,20.46037896,44.80986826
2,Univerzitetski klinički centar Srbije ,Beograd,Beogradska oblast,Savski venac,Pasterova 2,mediacentar@kcs.ac.rs,,112687160,20.46022912,44.80058666
3,"Kliničko bolnički centar ""Dr Dragiša Mišović-Dedinje""",Beograd,Beogradska oblast,Savski venac,Heroja Milana Tepića 1,office@dragisamisovic.bg.ac.rs,,113630600,20.4590613,44.7788327
4,"Kliničko bolnički centar ""Zemun""",Beograd,Beogradska oblast,Zemun,Vukova 9,direktor@kbczemun.bg.ac.rs,,113772696,20.40650076,44.84202916
5,"Kliničko bolnički centar ""Zvezdara""",Beograd,Beogradska oblast,Zvezdara,Dimitrija Tucovića 161,kabinet@kbczvezdara.rs,,113806969,20.49981059,44.79987867
6,Opšta bolnica Bor,Južna i istočna Srbija,Borska oblast,Bor,dr Dragiše Mišovića 1,borbolnica@sezampro.rs,www.borbolnica.org.rs,30458040,22.09159367,44.07981593
7,Opšta bolnica Majdanpek,Južna i istočna Srbija,Borska oblast,Majdanpek,Kapetanska 30,opstabolnicampek@mts.rs,www.obm.org.rs,30583319,21.94106826,44.42439013
8,Opšta bolnica Kladovo,Južna i istočna Srbija,Borska oblast,Kladovo,Dunavska 1-3,zckld@kladovonet.com,www.zckladovo.co.rs,19801116,22.6121142,44.61132087
9,Opšta bolnica Negotin,Južna i istočna Srbija,Borska oblast,Negotin,Badnjevska 4,zcnuprava@mts.rs,www.zcnegotin.rs,19542951,22.52768343,44.23254178
10,Opšta bolnica Petrovac na Mlavi,Južna i istočna Srbija,Braničevska oblast,Petrovac na Mlavi,"Moravska br. 2, 12300 Petrovac na Mlavi",office@opstabolnicapetrovac.rs,,12327983,21.4156405,44.3763869
11,Opšta bolnica Požarevac,Južna i istočna Srbija,Braničevska oblast,Požarevac,"Bratstva jedinstva 135, 12000 Požarevac",bolpo@obp.rs,,12550111,21.18712079,44.63238823
12,Opšta bolnica Leskovac,Južna i istočna Srbija,Jablanička oblast,Leskovac,Svetozara Markovića 110,uprava.bolnice@bolnicaleskovac.org,www.bolnicaleskovac.org,163444501,21.93797445,42.99526594
