ID,Maternity facility,Statistički region,Oblast,Opština,Naziv pravnog lica,Tip pružaoca zdravstvene zaštite,Adresa,Email,Web,Telefon,longitude,latitude
1,"Ginekološko-akušerska klinika ""Narodni front""",Beograd,Beogradska oblast,Savski venac,"Ginekološko-akušerska klinika ""Narodni Front""",Zdravstvena ustanova - Klinika,Kraljice Natalije 62,uprava@gakfront.org,,0112068227,20.46037896,44.80986826
2,Univerzitetski klinički centar Srbije ,Beograd,Beogradska oblast,Savski venac,Univerzitetski klinički centar Srbije,Zdravstvena ustanova - Univerzitetski klinički centar,Pasterova 2,mediacentar@kcs.ac.rs,,0112687160,20.46022912,44.80058666
3,"Kliničko bolnički centar ""Dr Dragiša Mišović-Dedinje""",Beograd,Beogradska oblast,Savski venac,"Kliničko-bolnički centar ""Dr Dragiša Mišović - Dedinje""",Zdravstvena ustanova - Kliničko-bolnički centar,Heroja Milana Tepića 1,office@dragisamisovic.bg.ac.rs,,0113630600,20.4590613,44.7788327
4,"Kliničko bolnički centar ""Zemun""",Beograd,Beogradska oblast,Zemun,"Kliničko-bolnički centar ""Zemun""",Zdravstvena ustanova - Kliničko-bolnički centar,Vukova 9,direktor@kbczemun.bg.ac.rs,,0113772696,20.40650076,44.84202916
5,"Kliničko bolnički centar ""Zvezdara""",Beograd,Beogradska oblast,Zvezdara,"Kliničko-bolnički centar ""Zvezdara""",Zdravstvena ustanova - Kliničko-bolnički centar,Dimitrija Tucovića 161,kabinet@kbczvezdara.rs,,0113806969,20.49981059,44.79987867
6,Opšta bolnica Bor,Južna i istočna Srbija,Borska oblast,Bor,Opšta bolnica Bor,Zdravstvena ustanova - Opšta bolnica,dr Dragiše Mišovića 1,borbolnica@sezampro.rs,www.borbolnica.org.rs,030458040,22.09159367,44.07981593
7,Opšta bolnica Majdanpek,Južna i istočna Srbija,Borska oblast,Majdanpek,Opšta bolnica Majdanpek,Zdravstvena ustanova - Opšta bolnica,Kapetanska 30,opstabolnicampek@mts.rs,www.obm.org.rs,030583319,21.94106826,44.42439013
8,Opšta bolnica Kladovo,Južna i istočna Srbija,Borska oblast,Kladovo,Zdravstveni centar Kladovo ,Zdravstvena ustanova - Zdravstveni centar,Dunavska 1-3,zckld@kladovonet.com,www.zckladovo.co.rs,019801116,22.6121142,44.61132087
9,Opšta bolnica Negotin,Južna i istočna Srbija,Borska oblast,Negotin,Zdravstveni centar Negotin ,Zdravstvena ustanova - Zdravstveni centar,Badnjevska 4,zcnuprava@mts.rs,www.zcnegotin.rs,019542951,22.52768343,44.23254178
10,Opšta bolnica Petrovac na Mlavi,Južna i istočna Srbija,Braničevska oblast,Petrovac na Mlavi,Opšta bolnica Petrovac na Mlavi,Zdravstvena ustanova - Opšta bolnica,"Moravska br. 2, 12300 Petrovac na Mlavi",office@opstabolnicapetrovac.rs,,012327983,21.4156405,44.3763869
11,Opšta bolnica Požarevac,Južna i istočna Srbija,Braničevska oblast,Požarevac,Opšta bolnica Požarevac,Zdravstvena ustanova - Opšta bolnica,"Bratstva jedinstva 135, 12000 Požarevac",bolpo@obp.rs,,012550111,21.18712079,44.63238823
12,Opšta bolnica Leskovac,Južna i istočna Srbija,Jablanička oblast,Leskovac,Opšta bolnica Leskovac,Zdravstvena ustanova - Opšta bolnica,Svetozara Markovića 110,uprava.bolnice@bolnicaleskovac.org,www.bolnicaleskovac.org,0163444501,21.93797445,42.99526594
13,Univerzitetski klinički centar Vojvodine,Vojvodina,Južnobačka oblast,Novi Sad,Univerzitetski klinički centar Vojvodine,Zdravstvena ustanova - Univerzitetski klinički centar,Hajduk Veljkova 1,uprava@kcv.rs,,0214843484,19.82338065,45.25077811
14,Opšta bolnica Vrbas,Vojvodina,Južnobačka oblast,Vrbas,Opšta bolnica Vrbas,Zdravstvena ustanova - Opšta bolnica,Milana Čekića 4,opbol@mts.rs,,0217954560,19.63946028,45.58699248
15,Opšta bolnica Pančevo,Vojvodina,Južnobanatska oblast,Pančevo,Opšta bolnica Pančevo,Zdravstvena ustanova - Opšta bolnica,Miloša Trebinjca 11,opstabolnica@bolnicapancevo.rs,,013319900,20.65347807,44.86766477
16,Opšta bolnica Vršac,Vojvodina,Južnobanatska oblast,Vršac,Opšta bolnica Vršac,Zdravstvena ustanova - Opšta bolnica,Abraševićeva bb,obvrsac@eunet.rs,,013838004,21.3068596,45.12168025
17,Opšta bolnica Valjevo,Šumadija i zapadna Srbija,Kolubarska oblast,Valjevo,Opšta bolnica Valjevo,Zdravstvena ustanova - Opšta bolnica,Sinđelićeva 62,office@zcvaljevo.com,www.obvaljevo.rs,014295295,19.89113021,44.27662764
18,Opšta bolnica Loznica,Šumadija i zapadna Srbija,Mačvanska oblast,Loznica,Opšta bolnica Loznica,Zdravstvena ustanova - Opšta bolnica,Bolnička 65,uprava@bolnicaloznica.rs,www.bolnicaloznica.rs,015873311,19.22965808,44.53614748
19,Opšta bolnica Šabac,Šumadija i zapadna Srbija,Mačvanska oblast,Šabac,Opšta bolnica Šabac,Zdravstvena ustanova - Opšta bolnica,Popa Karana br.4,opstabolnicasabac@mts.rs,www.bolnica015.org.rs,015363300,19.69317125,44.75086202
20,Opšta bolnica Čačak,Šumadija i zapadna Srbija,Moravička oblast,Čačak,Opšta bolnica Čačak,Zdravstvena ustanova - Opšta bolnica,Dr Dragiše Mišovića br.205,obcacak@gmail.com,http://obcacak.co.rs/,032307066,20.36624194,43.87304677
